"0001        "     694.000       0.000       0.000       6.542
"0002        "    4485.000       0.000       0.000       8.408
"0003        "    1445.000       0.000       0.000       7.276
"0004        "    2969.000       0.000       0.000       7.996
"0005        "    5008.000       0.000       0.000       8.519
"0006        "    2549.000       0.000       0.000       7.843
"0007        "    7094.000       1.000       0.000       8.867
"0008        "    3367.000       1.000       0.000       8.122
"0009        "    3112.000       1.000       0.000       8.043
"0010        "    3715.000       1.000       0.000       8.220
"0011        "    3094.000       1.000       0.000       8.037
"0012        "    3169.000       1.000       1.000       8.061
"0013        "    2122.000       0.000       1.000       7.660
"0014        "    3459.000       0.000       1.000       8.149
"0015        "    1829.000       1.000       1.000       7.512
"0016        "    2124.000       0.000       1.000       7.661
"0017        "    3732.000       1.000       1.000       8.225
"0018        "    2240.000       1.000       1.000       7.714
"0019        "    2064.000       0.000       1.000       7.632
"0020        "    2076.000       0.000       1.000       7.638
"0021        "    6229.000       0.000       1.000       8.737
"0022        "    6809.000       1.000       1.000       8.826
